participant,session,typing_speed,pause_ratio,backspace_ratio,mean_dwell,timing_variance,label
p080,2,2.787700624738801,0.011123470522803115,0.024471635150166853,0.23288357434186133,6.844860367113324,interested
p081,1,4.701335817022643,0.012567934782608696,0.09035326086956522,0.10541949728260869,0.7006106773488753,interested
p081,2,4.031156613564722,0.01163586584531143,0.06776180698151951,0.12956023271731693,1.4853638961681166,interested
p082,1,1.0768899414501072,0.17804459691252145,0.08061749571183534,0.9441492281303601,8.017490422581043,neutral
p082,2,4.529231217283468,0.007212292254625274,0.0962684227030417,0.12258482282847287,0.05937993310727491,interested
p083,1,1.2658294504194476,0.14523449319213314,0.0453857791225416,0.7847049924357036,6.311155935374582,neutral
p083,2,4.921948545255286,0.011068834313386372,0.05984088550674507,0.09258803182289864,0.03581168413560824,interested
p084,1,4.116552567222919,0.007713073659853451,0.03432317778634786,0.08195063632857694,0.09507606645739039,interested
p084,2,3.7831091722156787,0.014743826022852931,0.02838186509399189,0.076493549576115,0.03845257433306582,interested
p085,1,2.6712239951220274,0.0430622009569378,0.08680792891319207,0.17100615174299383,1.7166424484889735,interested
p085,2,2.797514984454933,0.052321778940483975,0.08044473512099411,0.12127174623937213,0.17063186087848853,interested
p086,1,1.3161966427296117,0.03865877712031558,0.01893491124260355,0.5524508875739645,25.643133063339597,neutral
p086,2,2.2354565765969108,0.034584253127299486,0.03200883002207505,0.28908830022075055,2.8129085160981826,interested
p087,1,1.7664278429093985,0.02137854773313675,0.05750092148912643,0.09154022140221402,133.61631363715736,neutral
p087,2,3.378140611205619,0.014685792349726777,0.06830601092896176,0.09350136612021857,0.5152610799001731,interested
p088,1,1.9092016477777698,0.07131901840490798,0.03565950920245399,0.21101763803680978,10.220976415297372,neutral
p088,2,1.453998931275985,0.07255048616305161,0.02318623784592371,0.08774943904263276,145.53323576516487,neutral
p089,1,1.091687380361003,0.03554923569143263,0.0646996089584074,0.69165552790615,62.38612448494119,neutral
p089,2,1.530174829822867,0.028031070584262074,0.06450523471800068,0.5082016210739615,20.94750567651368,neutral
p090,1,4.274270630608096,0.012404232032105071,0.05691353520612915,0.10464538489602333,0.11261690060098048,interested
p090,2,3.73581013612927,0.016469745793054064,0.047977085571070534,0.11676620121732903,0.14488506633990705,interested
p091,1,4.0328392614156225,0.006395786305492852,0.052294958615500375,0.20316478555304737,2.4001510374507538,interested
p091,2,4.014648843973481,0.0215929203539823,0.05345132743362832,0.21716141592920354,0.42736837738269945,interested
p092,1,3.333361694868104,0.033187454412837346,0.0638220277169949,0.09207075127644054,0.06663465790596568,interested
p092,2,3.614117974932436,0.022865853658536585,0.11036585365853659,0.08728323170731707,0.05531154199859003,neutral
p093,1,1.5247275706809027,0.05392689106044155,0.045240680419833514,0.4668595729279768,20.033811825734226,neutral
p093,2,1.9530067311546286,0.04918032786885246,0.041696364932287955,0.3193253741981468,16.219700941738825,neutral
p094,1,2.4863726681166023,0.056588840522358526,0.024139295607439652,0.18092204194697273,5.966263382788197,interested
